UOF #,CAD#,Offense,Disposition,Date,Sex,Race,Age,Charges,Dialog,HandStrike,Vertical Stun,Decentralizatio,Forearm Strike,Batons,Wrist Compressio,KneeStrke,Less than Lethal,OC,FootStrike,K9Bite,Pressure Points,DiffusedStrike,Firearm,Conducted Energy Device,Other,Alcohol Use,Drug
UOF18-063C,BE1819917,Disorderly Conduct,Criminal Arrest,2018-05-25,F,B,24.0,Resisitng/ Obstructing  DC,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF18-064,be1820399,Loitering,Ordinance Arrest,2018-05-29,M,W,39.0,Prowling/Resist/Obstruct Officer,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Passive Countermeasures,Yes,No
UOF18-065A,BE1820576,Domestic Violence,Criminal Arrest,2018-05-29,F,B,31.0,Domestic Criminal Damage to property and Resisting,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,passive countermeasures,Yes,No
UOF18-065B,BE1820576,Domestic Violence,Criminal Arrest,2018-05-29,F,B,31.0,Domestic Criminal Damage to property and Resisting,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,passive countermeasures,Yes,No
UOF18-066A,BE1821059,Disorderly Conduct,Criminal Arrest,2018-06-01,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF18-066B,BE1821059,Disorderly Conduct,Criminal Arrest,2018-06-01,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF18-066C,BE1821059,Disorderly Conduct,Criminal Arrest,2018-06-01,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF18-066D,BE1821059,Disorderly Conduct,Criminal Arrest,2018-06-01,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF18-067,BE1823539,5115 Mental Commitment,Emergency Detention Arrest,2018-06-19,W,M,41.0,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,Yes,No
UOF18-068A,BE1823155,Disorderly Conduct,Criminal Arrest,2018-06-16,M,B,26.0,"D.C., Resisting an Officer, Criminal Damage to Property",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Passive Countermeasures,Yes,No
UOF18-068B,BE1823155,Disorderly Conduct,Criminal Arrest,2018-06-16,M,B,26.0,"D.C., Resisting an Officer, Criminal Damage to Property",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Passive Countermeasures,Yes,No
UOF18-068C,BE1823155,Disorderly Conduct,Criminal Arrest,2018-06-16,M,B,26.0,"D.C., Resisting an Officer, Criminal Damage to Property",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Passive Countermeasures,Yes,No
UOF18-069A,BE1823857,5115 Mental Commitment,Emergency Detention Arrest,2018-06-20,F,W,15.0,51.15,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization in hospital bed,No,No
UOF18-069B,BE1823857,5115 Mental Commitment,Emergency Detention Arrest,2018-06-20,F,W,15.0,51.15,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization in hospital bed,No,No
UOF18-069C,BE1823857,5115 Mental Commitment,Emergency Detention Arrest,2018-06-20,F,W,15.0,51.15,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization in hospital bed,No,No
UOF18-070A,BE1823539,5115 Mental Commitment,Emergency Detention Arrest,2018-06-19,W,M,41.0,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,Yes,Yes
UOF18-070B,BE1823539,5115 Mental Commitment,Emergency Detention Arrest,2018-06-19,W,M,41.0,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization Prevented jaws from swallowing pills,Yes,Yes
UOF18-071A,BE1824210,Obstructing Justice,Criminal Arrest,2018-06-23,M,B,26.0,Hit & Run Obstructing,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF18-071B,BE1824210,Obstructing Justice,Criminal Arrest,2018-06-23,M,B,26.0,Hit & Run Obstructing,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF18-072,BE1824523,Disorderly Conduct,Criminal Arrest,2018-06-25,M,W,69.0,Discharge of firearm,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF18-073A,BE1824668,physical abuse of child,Criminal Arrest,2018-06-26,M,B,46.0,Physical Abuse child,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,Yes,No
UOF18-073B,BE1824668,physical abuse of child,Criminal Arrest,2018-06-26,M,B,46.0,Physical Abuse child,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,Yes,No
