UOF #,CAD#,Offense,Disposition,Date,Sex,Race,Age,Charges,Dialog,HandStrike,Vertical Stun,Decentralizatio,Forearm Strike,Batons,Wrist Compressio,KneeStrke,Less than Lethal,OC,FootStrike,K9Bite,Pressure Points,DiffusedStrike,Firearm,Conducted Energy Device,Other,Alcohol Use,Drug
UOF19-080A,BE1935517,Criminal damage,Criminal Arrest,2019-08-24,M,B,38,Criminal damage and bail jumping,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Overcome physical strength from pulling away,Yes,No
UOF19-080b,BE1935517,Criminal damage,Criminal Arrest,2019-08-24,M,B,38,Criminal damage and bail jumping,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Overcome physical strength from pulling away,Yes,No
UOF19-081A,BE1935984,Criminal damage,Criminal Arrest,2019-08-27,F,B,22,"Criminal Damage to property, resisting, obstructing",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF19-081B,BE1935984,Criminal damage,Criminal Arrest,2019-08-27,F,B,22,"Criminal damage, resisting, obstructing",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No
UOF19-082,BE1936062,Disorderly Conduct,Criminal Arrest,2019-08-28,F,W,15,Disorderl conduct,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Overcome resitance to handcuff,No,No
UOF19-083A,BE1912634,Disorderly Conduct,Criminal Arrest,2019-03-29,F,W,39,DC / DV,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,overcome resistance to handcuff,No,No
UOF19-083B,BE1912634,Disorderly Conduct,Criminal Arrest,2019-03-29,F,W,39,DC / DV,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,overcome resistance to handcuff,No,No
UOF19-083C,BE1912634,Disorderly Conduct,Criminal Arrest,2019-03-29,F,W,39,DC / DV,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,overcome resistance to handcuff,No,No
UOF19-084,BE1937555,Retail Theft,Criminal Arrest,2019-09-07,M,B,49,"Retail theft, battery, DC, possession of drug paraphernalia",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes
UOF19-085A,BE1937801,Battery DV,Criminal Arrest,2019-09-10,F,W,36,Batteryt DV DC and resisting,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF19-085B,BE1937801,Battery DV,Criminal Arrest,2019-09-10,F,W,36,Batteryt DV DC and resisting,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,compliance hold,Yes,No
UOF19-086A,BE1937078,battery,Criminal Arrest,2019-09-04,M,W,16,"Battery, throwing missles, DC, and resisting",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Escort hold,No,No
UOF19-086B,BE1937078,battery,Criminal Arrest,2019-09-04,M,W,16,"Battery, throwing missles, DC, and resisting",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Escort hold,No,No
UOF19-087,BE1938107,juvenile Capias,Criminal Arrest,2019-09-11,F,B,12,Juvenile Capias,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,overcome resistance to handcuff,No,No
UOF19-088A,BE1938844,Criminal Damage,Criminal Arrest,2019-09-15,F,W,38,"Criminal damage, resisting",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No
UOF19-088B,BE1938844,Criminal Damage,Criminal Arrest,2019-09-15,F,W,38,"Criminal damage, resisting",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF19-088C,BE1938844,Criminal Damage,Criminal Arrest,2019-09-15,F,W,38,"Criminal damage, resisting",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF19-089A,BE1937742,51.15,Emergency Detention Arrest,2019-09-09,M,B,22,51.15,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-089B,BE1937742,51.15,Emergency Detention Arrest,2019-09-09,M,B,22,51.15,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-090A,BE1938922,51.155,Criminal Arrest,2019-09-16,M,W,30,Resisting and probation violation,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,,No,No
UOF19-090B,BE1938922,51.155,Criminal Arrest,2019-09-16,M,W,30,Resisting and probation violation,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF19-091,BE1939295,Truancy,Criminal Arrest,2019-09-18,F,W,13,"Truancy, Battery to PO, Resisting arrest",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF19-092A,BE1940018,51.15,Emergency Detention Arrest,2019-09-23,M,B,20,51.15,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization to handcuff,No,No
UOF19-092B,BE1940018,51.15,Emergency Detention Arrest,2019-09-23,M,B,20,51.15,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization to handcuff,No,No
UOF19-092C,BE1940018,51.15,Emergency Detention Arrest,2019-09-23,M,B,20,51.15,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization to handcuff,No,No
UOF19-093A,BE1940962,OWI Alcohol or Drugs,Criminal Arrest,2019-09-29,M,H,19,OWI and obstructing,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,No
UOF19-093B,BE1940962,OWI Alcohol or Drugs,Criminal Arrest,2019-09-29,M,H,19,OWI and obstructing,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,No
UOF19-094,BE1940984,DC while armed,Criminal Arrest,2019-09-29,M,B,21,DC while armed,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF19-095,BE1939870,OWI,Criminal Arrest,2019-09-21,M,W,59,OWI 5th,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization to handcuff,No,No
UOF19-096,BE1943306,DCC,Juvenile Referral,2019-10-14,M,B,13,DC and resisting,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF19-097,BE1943939,Substantial battery,Criminal Arrest,2019-10-18,M,W,13,Subtantial battery and DC,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Overcome resistance to handcuff,No,No
UOF19-098A,BE1945514,"resisting, tresspass, battery",Criminal Arrest,2019-10-29,M,B,14,resisting tresspass battery,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No
UOF19-098B,BE1945514,"resisting, tresspass, battery",Criminal Arrest,2019-10-29,M,B,14,resisting tresspass battery,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No
UOF19-099A,BE1945597,Resist or Interfere w/Police,Criminal Arrest,2019-10-29,M,B,16,resisting,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Hug yoursel decentralization,No,No
UOF19-099B,BE1945597,Resist or Interfere w/Police,Criminal Arrest,2019-10-29,M,B,16,resisting,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Hug yoursel decentralization,No,No
UOF19-100A,BE1948003,Fugitive,Criminal Arrest,2019-11-15,M,B,30,"Fugitive complaint, resisting",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,No
UOF19-100B,BE1948003,Fugitive,Criminal Arrest,2019-11-15,M,B,30,"Fugitive complaint, resisting",No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,No
UOF19-100C,BE1948003,Fugitive,Criminal Arrest,2019-11-15,M,B,30,"Fugitive complaint, resisting",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No
UOF19-101,BE1947956,Disorderly Conduct,No Arrest,2019-11-15,M,B,11,School discipline.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF19-102A,BE1948503,Warrants,Criminal Arrest,2019-11-19,F,W,27,"Warrants JPD fleeing, RCSO non support",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF19-102B,BE1948503,Warrants,Criminal Arrest,2019-11-19,F,W,27,"Warrants JPD fleeing, RCSO non support",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF19-103,BE1948574,DC,Criminal Arrest,2019-11-19,M,W,37,"DC, Battery to officer",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF19-104A,BE1948940,OWI Alcohol or Drugs,Criminal Arrest,2019-11-22,M,W,28,"OWI, resisting",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF19-104B,BE1948940,OWI Alcohol or Drugs,Criminal Arrest,2019-11-22,M,W,28,"OWI, resisting",No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,Yes
UOF19-104C,BE1948940,OWI Alcohol or Drugs,Criminal Arrest,2019-11-22,M,W,28,"OWI, resisting",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes
UOF19-105,BE1949230,OWI Alcohol or Drugs,Criminal Arrest,2019-11-24,M,W,28,OWI and resisting,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF19-106,BE1949168,Battery,Criminal Arrest,2019-11-23,F,B,24,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-107,BE1949682,Retail Theft,Criminal Arrest,2019-11-26,F,W,42,Theft and obstructing,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No
UOF19-108A,BE1950274,Shots fired call,Criminal Arrest,2019-12-01,F,B,18,Resisting and Obstructing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-108B,BE1950274,Shots fired call,Criminal Arrest,2019-12-01,F,B,18,Resisting and Obstructing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-108C,BE1950274,Shots fired call,Criminal Arrest,2019-12-01,F,B,18,Resisting and Obstructing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-109A,BE1951237,51.45,Criminal Arrest,2019-12-08,M,W,31,51.45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-109B,BE1951237,51.45,Criminal Arrest,2019-12-08,M,W,31,51.45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-109C,BE1951237,51.45,Criminal Arrest,2019-12-08,M,W,31,51.45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-109D,BE1951237,51.45,Criminal Arrest,2019-12-08,M,W,31,51.45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-110A,BE1950916,Bomb threat,Criminal Arrest,2019-12-06,M,B,16,"Bomb threat, resisting, tresspassing",No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No
UOF19-110B,BE1950916,Bomb threat,Criminal Arrest,2019-12-06,M,B,16,"Bomb threat, resisting, tresspassing",No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No
UOF19-111A,BE1949742,51.15,Emergency Detention Arrest,2019-11-27,F,B,53,51.15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,No
UOF19-111B,BE1949742,51.15,Emergency Detention Arrest,2019-11-27,F,B,53,51.15,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No
UOF19-112,BE1947885,Disorderly Conduct,Criminal Arrest,2019-11-15,M,B,49,Resisting,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stablization,No,No
UOF19-113A,BE1951849,criminal tresspass,Criminal Arrest,2019-12-13,M,B,41,Criminal tresspass and damage,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,hypoglossal,No,No
UOF19-113B,BE1951849,criminal tresspass,Criminal Arrest,2019-12-13,M,B,41,Criminal tresspass and damage,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF19-114,BE1953242,Obstructing Justice,Criminal Arrest,2019-12-22,F,W,22,Resisting,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF19-115,BE1953250,,,2019-12-22,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF19-116,BE1952975,DC and criminal damage,Criminal Arrest,2019-12-20,M,W,15,"DC, criminal damge and battery",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF19-117,BE1953060,,,2019-12-20,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Deer crash dispatch a deer,No,No
